,Country Name:,Population,Area (Sq. Km.),Population Density (Sq. Km.),Area (Sq. Mi.),Population Density (Sq. Mi.)
57,Estonia,"1,340,021","45,226.00",29.63,"17,461.85",76.74
112,Mauritius,"1,297,000","2,040.00",635.78,787.65,"1,646.67"
165,Swaziland,"1,202,000","17,363.00",69.23,"6,703.89",179.30
51,East Timor,"1,171,000","15,007.00",78.03,"5,794.23",202.10
48,Djibouti,"879,000","23,000.00",38.22,"8,880.35",98.98
59,Fiji,"854,000","18,270.00",46.74,"7,054.08",121.06
13,Bahrain,"807,000",665.00,"1,213.53",256.76,"3,143.04"
45,Cyprus,"801,851","9,250.00",86.69,"3,571.44",224.52
72,Guyana,"761,000","214,970.00",3.54,"83,000.35",9.17
20,Bhutan,"708,000","47,000.00",15.06,"18,146.79",39.02
55,Equatorial Guinea,"693,000","28,051.00",24.71,"10,830.55",63.99
38,Comoros,"691,000","2,170.00",318.43,837.84,824.74
157,Solomon Islands,"536,000","28,450.00",18.84,"10,984.60",48.80
164,Suriname,"524,000","163,270.00",3.21,"63,038.87",8.31
32,Cape Verde,"513,000","4,033.00",127.20,"1,557.15",329.45
102,Luxembourg,"502,207","2,586.00",194.20,998.46,502.98
109,Malta,"416,333",316.00,"1,317.51",122.01,"3,412.34"
25,Brunei,"407,000","5,770.00",70.54,"2,227.81",182.69
12,Bahamas,"346,000","13,940.00",24.82,"5,382.26",64.29
18,Belize,"322,100","22,966.00",14.03,"8,867.22",36.32
76,Iceland,"317,900","103,000.00",3.09,"39,768.51",7.99
107,Maldives,"314,000",300.00,"1,046.67",115.83,"2,710.86"
15,Barbados,"257,000",431.00,596.29,166.41,"1,544.38"
186,Vanuatu,"246,000","12,200.00",20.16,"4,710.44",52.22
146,Samoa,"179,000","2,944.00",60.80,"1,136.68",157.48
145,Saint Lucia,"174,000",616.00,282.47,237.84,731.59
148,Sao Tome & Principe,"165,000","1,001.00",164.84,386.49,426.92
114,Micronesia,"111,000",702.00,158.12,271.04,409.53
162,St. Vincent & the Grenadines,"109,000",389.00,280.21,150.19,725.73
68,Grenada,"104,000",344.00,302.33,132.82,783.02
173,Tonga,"104,000",748.00,139.04,288.80,360.11
89,Kiribati,"100,000",811.00,123.30,313.13,319.36
6,Antigua & Barbuda,"89,000",443.00,200.90,171.04,520.34
152,Seychelles,"85,000",455.00,186.81,175.68,483.84
4,Andorra,"84,082",468.00,179.66,180.70,465.32
49,Dominica,"67,000",754.00,88.86,291.12,230.14
110,Marshall Islands,"63,000",181.00,348.07,69.88,901.49
144,Saint Kitts & Nevis,"38,960",261.00,149.27,100.77,386.61
100,Liechtenstein,"35,904",160.00,224.40,61.78,581.19
116,Monaco,"33,000",2.00,"16,500.00",0.77,"42,734.82"
147,San Marino,"32,386",61.00,530.92,23.55,"1,375.07"
132,Palau,"20,000",458.00,43.67,176.83,113.10
122,Nauru,"10,000",21.00,476.19,8.11,"1,233.33"
178,Tuvalu,"10,000",26.00,384.62,10.04,996.15
187,Vatican City,800,1.00,800.00,0.39,"2,071.99"
193,South Sudan,"8,260,490","619,745.00",13.32,"239,285.00",34.52
