Journal Name,PMC Deposit Policy,Who Deposits to PMC,Embargo Period in Months,Optional Fee for Immediate Access,Publisher Link to NIH Policy Page or Related Policy
GENETICS,Yes,Publisher Only,6,No,GENETICS SOCIETY OF AMERICA
GEOPHYSICAL RESEARCH LETTERS,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN GEOPHYSICAL UNION
GLOBAL BIOGEOCHEMICAL CYCLES,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN GEOPHYSICAL UNION
GLOBAL CHANGE BIOLOGY,Yes,Publisher Only,12,Yes,WILEY-BLACKWELL
GYNECOLOGIC ONCOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,Yes,Author Only,12,No,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
INTEGRATIVE AND COMPARATIVE BIOLOGY,Yes,Publisher Only,12,Yes,OXFORD UNIVERSITY PRESS INC
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,Yes,Author Only,12,Yes,CAMBRIDGE UNIVERSITY PRESS
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,Yes,Publisher OR Author,12,No Specific Information,ASSOCIATION FOR RESEARCH IN VISION AND OPHTHALMOLOGY INC
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Yes,Author Only,6,No Specific Information,AMERICAN MEDICAL ASSOCIATION
JOURNAL OF APPLIED PHYSIOLOGY,Yes,Publisher Only,12,Yes,AMERICAN PHYSIOLOGICAL SOCIETY
JOURNAL OF BACTERIOLOGY,Yes,Publisher Only,6,No Specific Information,AMERICAN SOCIETY FOR MICROBIOLOGY
JOURNAL OF BIOLOGICAL CHEMISTRY,Yes,Publisher Only,12,Yes,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY
JOURNAL OF BIOMEDICAL OPTICS,Yes,Publisher Only,12,Yes,SOCIETY OF PHOTOPTICAL INSTRUMENTATION ENGINEERS **
JOURNAL OF CHEMICAL PHYSICS,Yes,Publisher Only,12,Yes,AMERICAN INSTITUTE OF PHYSICS
JOURNAL OF CLINICAL ONCOLOGY,Yes,Publisher Only,12,No Specific Information,AMERICAN SOCIETY OF CLINICAL ONCOLOGY
JOURNAL OF COMPARATIVE NEUROLOGY,Yes,Publisher Only,12,Yes,WILEY
JOURNAL OF COMPUTATIONAL PHYSICS,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF ENDOUROLOGY,Yes,Publisher Only,12,Yes,MARY ANN LIEBERT INC
JOURNAL OF EXPERIMENTAL BIOLOGY,Yes,Publisher only,6,Yes,THE COMPANY OF BIOLOGISTS LTD
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN GEOPHYSICAL UNION
JOURNAL OF IMMUNOLOGY,Yes,Author Only,12,No Specific Information,AMERICAN ASSOCIATION OF IMMUNOLOGISTS
JOURNAL OF INVESTIGATIVE MEDICINE,Yes,Publisher Only,12,No Specific Information,LIPPINCOTT WILLIAMS & WILKINS
JOURNAL OF MATHEMATICAL PSYCHOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF NEUROPHYSIOLOGY,Yes,Publisher Only,12,Yes,AMERICAN PHYSIOLOGICAL SOCIETY
JOURNAL OF NEUROSCIENCE,Yes,Publisher Only,6,Yes,SOCIETY FOR NEUROSCIENCE
JOURNAL OF NUCLEAR MEDICINE,No Specific Policy,No Specific Information,No Specific Information,No Specific Information,SOCIETY OF NUCLEAR MEDICINE INC
JOURNAL OF ORGANIC CHEMISTRY,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Yes,Publisher Only,12,No Specific Information,AMERICAN SOCIETY FOR PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS
JOURNAL OF PHYSICAL CHEMISTRY A,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
JOURNAL OF PHYSICAL CHEMISTRY B,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Yes,Publisher Only,12,Yes,ACOUSTICAL SOCIETY OF AMERICA (AMERICAN INSTITUTE OF PHYSICS)
JOURNAL OF THE AMERICAN ACADEMY OF CHILD & ADOLESCENT PSYCHIATRY,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
JOURNAL OF VIROLOGY,Yes,Publisher Only,6,No Specific Information,AMERICAN SOCIETY FOR MICROBIOLOGY
KIDNEY INTERNATIONAL,Yes,Publisher OR Author,6,Yes,NATURE PUBLISHING GROUP
LASERS IN SURGERY AND MEDICINE,Yes,Publisher Only,12,Yes,WILEY
LEARNING & MEMORY,Yes,Publisher Only,12,Yes,COLD SPRING HARBOR LABORATORY PRESS
LECTURE NOTES IN COMPUTER SCIENCE,Yes,Publisher OR Author,12,Yes,SPRINGER-VERLAG BERLIN
MATERIALS SCIENCE AND ENGINEERING A,Yes,Publisher Only,12,Yes,ELSEVIER
MEDICAL PHYSICS,Yes,Publisher Only,12,Yes,AMERICAN ASSOCIATION OF PHYSICISTS IN MEDICINE (AMERICAN INSTITUTE OF PHYSICS)
MOLECULAR AND CELLULAR BIOLOGY,Yes,Publisher Only,6,No Specific Information,AMERICAN SOCIETY FOR MICROBIOLOGY
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,Yes,Publisher Only,12,Yes,WILEY-BLACKWELL
NANO LETTERS,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
NATURE,Yes,Publisher OR Author,6,Yes,NATURE PUBLISHING GROUP
NEUROBIOLOGY OF AGING,Yes,Publisher Only,12,Yes,ELSEVIER
NEUROBIOLOGY OF LEARNING AND MEMORY,Yes,Publisher Only,12,Yes,ELSEVIER
NEUROIMAGE,Yes,Publisher Only,12,Yes,ELSEVIER
NEURON,Yes,Publisher Only,12,Yes,CELL PRESS
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A,Yes,Publisher Only,12,Yes,ELSEVIER
NUCLEIC ACIDS RESEARCH,Yes,Publisher Only,12,Yes,OXFORD UNIVERSITY PRESS
ONCOGENE,Yes,Publisher OR Author,6,Yes,NATURE PUBLISHING GROUP
OPTICS LETTERS,Yes,Author Only,12,Yes,OPTICAL SOCIETY OF AMERICA
ORGANIC LETTERS,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
ORGANOMETALLICS,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,No Specific Policy,No Specific Information,No Specific Information,No Specific Information,ROYAL SOCIETY OF CHEMISTRY
PHYSICAL REVIEW B,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN PHYSICAL SOCIETY
PHYSICAL REVIEW D,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN PHYSICAL SOCIETY
PHYSICAL REVIEW E,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN PHYSICAL SOCIETY
PHYSICAL REVIEW LETTERS,No Specific Policy,No Specific Information,No Specific Information,Yes,AMERICAN PHYSICAL SOCIETY
PHYSICS IN MEDICINE AND BIOLOGY,Yes,Publisher OR Author,12,No Specific Information,IOP PUBLISHING LTD
PHYSICS OF PLASMAS,Yes,Publisher Only,12,Yes,AMERICAN INSTITUTE OF PHYSICS
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE USA,Yes,Publisher OR Author,6,Yes,NATIONAL ACADEMY OF SCIENCES
SCIENCE,Yes,Author Only,6,No Specific Information,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE
SOCIAL FORCES,Yes,Author Only,12,No Specific Information,UNIVERSITY OF NORTH CAROLINA PRESS **
STROKE,Yes,Publisher Only,12,No Specific Information,LIPPINCOTT WILLIAMS & WILKINS
UROLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
VIROLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
VISION RESEARCH,Yes,Publisher Only,12,Yes,ELSEVIER
