Emperor,Born - Died,Reign as Emperor,Succession,Cause of Death
Commodus,161 AD - 192 AD,177 AD - 192 AD,Natural son of Marcus Aurelius; joint emperor from 177 AD,"Assassinated in palace, strangled to death"
Pertinax,126 AD - 193 AD,193 AD - 193 AD,Proclaimed emperor by Praetorian Guard,Murdered by Praetorian Guard
Didius Julianus,133 or 137 AD - 193 AD,193 AD - 193 AD,Won auction held by the Praetorian Guard for the position of emperor,Executed on orders of the Senate
Septimius Severus,145 AD - 211 AD,193 AD - 211 AD,Seized power with support of Pannonian legionsa,Natural causes
Caracalla,188 AD - 217 AD,198 AD - 217 AD,Son of Septimius Severus; co-emperor with Severus from 198 AD; with Severus and Geta from 209 AD until February 211 AD; co-emperor with Geta until December 211 AD,Murdered by a soldier; probably as part of a conspiracy involving Macrinus
Geta,189 AD - 211 AD,209 AD - 211 AD,Son of Septimius Severus; co-emperor with Severus and Caracalla from 209 AD until February 211 AD; co-emperor with Caracalla until December 211 AD,Murdered on the orders of Caracalla
Macrinus with Diadumenian,c. 165 AD - 218 AD,217 AD - 218 AD,"Praetorian Prefect to Caracalla, probably conspired to have Caracalla murdered and proclaimed himself emperor after Caracalla's death; appointed his son Diadumenian junior emperor in May 217",Both executed in favour of Elagabalus
Elagabalus,c. 203 AD - 222 AD,218 AD - 222 AD,"Grandson of Septimius Severus's sister-in-law, alleged illegitimate son of Caracalla; proclaimed emperor by Syrian legions",Murdered by Praetorian Guard
Alexander Severus,08 AD - 235 AD,222 AD - 235 AD,"Grandson of Septimius Severus's sister-in-law, cousin and adoptive heir of Elagabalus",Murdered by the army
Maximinus Thrax,c.173 AD - 238 AD,235 AD - 238 AD,Proclaimed emperor by German legions after the murder of Alexander Severus,Assassinated by Praetorian Guard
Gordian I,c.159 AD - 238 AD,238 AD - 238 AD,"Proclaimed emperor, whilst Pro-consul in Africa, during a revolt against Maximinus. Ruled jointly with his son Gordian II, and in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III",Committed suicide upon hearing of the death of Gordian II.
Gordian II,"c.192 AD, ? - 238 AD",238 AD - 238 AD,"Proclaimed emperor, alongside father Gordian I, in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III","Killed during the Battle of Carthage, fighting a pro-Maximinus army"
Pupienus Maximus,"c. 178 AD, ?",238 AD - 238 AD,Proclaimed joint emperor with Balbinus by the Senate in opposition to Maximinus; later co-emperor with Balbinus and Gordian III,Assassinated by the Praetorian Guard
Balbinus,? - 238 AD,238 AD - 238 AD,"Proclaimed joint emperor with Pupienus by the Senate after death of Gordian I & II, in opposition to Maximinus; later co-emperor with Pupienus and Gordian III",Assassinated by Praetorian Guard
Gordian III,225 AD - 244 AD,238 AD - 244 AD,"Proclaimed emperor by supporters of Gordian I & II, then by the Senate; joint-emperor with Pupienus and Balbinus until July 238 AD.",Unknown; possibly murdered on orders of Philip the Arab
Philip the Arab,c. 204 AD - 249 AD,244 AD - 249 AD,"Praetorian Prefect to Gordian III, took power after his death","Killed in battle against Decius, near Verona"
Decius with Herennius Etruscus,c. 201 AD - 251 AD,249 AD - 251 AD,Governor under Philip the Arab; proclaimed emperor by Danubian legions and defeated Philip in battle; made his son Herennius Etruscus co-emperor in early 251 AD,Both killed in the Battle of Abrittus fighting against the Goths
Hostilian,unknown - 251 AD,251 AD - late 251 AD,"Son of Decius, accepted as heir by the Senate",Natural causes (Plague)
Trebonianus Gallus with Volusianus,206 AD - 253 AD,251 AD - 253 AD,"Governor of Moesia Superior, proclaimed emperor by Danubian legions after Decius's death (and in opposition to Hostilian); made his son Volusianus co-emperor in late 251 AD.","Assassinated by their own troops, in favour of Aemilianus"
Aemilianus,c. 207 AD - 253 AD,253 AD - 253 AD,"Governor of Moesia Superior, proclaimed emperor by Danubian legions after defeating the Goths; accepted as emperor after death of Gallus","Assassinated by his own troops, in favour of Valerian"
Valerian,c. 200 AD - 260 AD,253 AD - 260 AD,"Governor of Noricum and Raetia, proclaimed emperor by Rhine legions after death of Gallus; accepted as emperor after death of Aemilianus","Captured in Battle of Edessa against Persians, died in captivity"
Gallienus,? - 268 AD,253 AD - 268 AD,"Son of Valerian, made co-emperor in 253 AD",Murdered in unclear circumstances
Claudius Gothicus,213 AD/214 AD - 270 AD,268 AD - 270 AD,"Victorious general at Battle of Naissus, seized power after Gallienus's death",Natural causes (Plague)
Quintilus,? - 270 AD,270 AD - 270 AD,"Brother of Claudius Gothicus, seized power after his death",Unclear; possibly suicide or murder
Aurelian,214 AD/215 AD - 275 AD,(?) 270 AD - 275 AD,"Proclaimed emperor by Danubian legions after Claudius Gothicus's death, in opposition to Quintillus",Assassinated by Praetorian Guard
Tacitus,? - 276 AD,275 AD - 276 AD,"Elected by the Senate to replace Aurelian, after a short interregnum",Natural causes (possibly assassinated)
Florianus,? - 276 AD,AD - 276 AD,"Possibly half-brother of Tacitus, elected by the army in the west to replace him","Assassinated by his own troops, in favour of Probus"
Probus,232 AD - 282 AD,276 AD - r 282 AD,"Governor of the eastern provinces, proclaimed emperor by Danubian legions in opposition to Florianus","Assassinated by his own troops, in favour of Carus"
Carus,c. 230 AD - 283 AD,282 AD - 283 AD,Praetorian Prefect to Probus; seized power either before or after Probus was murdered,Natural causes? (Possibly killed by lightning)
Numerian,? - 284 AD,283 AD - 284 AD?,"Son of Carus, succeeded him jointly with his brother Carinus",Unclear; possibly assassinated
Carinus,? - 285 AD,283 AD - 285 AD,"Son of Carus, succeeded him jointly with his brother Numerian",Died in battle against Diocletian?
Diocletian,244 AD - 311 AD,284 AD - 305 AD,"Proclaimed emperor by army after death of Numerian, and in opposition to Carinus; adopted Maximian as senior co-emperor in 286 AD",Abdicated; died of natural causes
Maximian,c. 250 AD - 310 AD,286 AD - 305 AD,Adopted as senior co-emperor ('Augustus') in the west by Diocletian in 286 AD,"Abdicated with Diocletian; twice tried to regain throne with, and then from Maxentius; captured by Constantine I and committed suicide at his behest"
Constantius I Chlorus,c. 250 AD - 306 AD,305 AD - 306 AD,Adopted as junior co-emperor ('Caesar') and heir by Maximian in 293 AD,Natural causes
Galerius,c. 260 AD - 311 AD,305 AD - 311 AD,Adopted as junior co-emperor ('Caesar') and heir by Diocletian in 293 AD,Natural causes
Severus S,? - 307 AD,306 AD - 307 AD,Adopted as junior co-emperor ('Caesar') and heir by Constantius Chlorus in 305 AD; succeeded as Augustus in 306; opposed by Maxentius and Constantine I,Captured by Maxentius and forced to commit suicide (or murdered)
Constantine I,c. 272 AD - 337 AD,306 AD - 337 AD,"Son of Constantius Chlorus, proclaimed emperor by his father's troops; accepted as Caesar (west) by Galerius in 306 AD; promoted to Augustus (west) in 307 AD by Maximian after death of Severus; refused relegation to Caesar in 309 AD",Natural causes
Maxentius,c. 278 AD,306 AD - 312 AD,"Son of Maximian, seized power in 306 after death of Constantius Chlorus, in opposition to Severus and Constantine I; made Caesar (west) by Maximian in 307 AD after the death of Severus","312 AD Died at the Battle of the Milvian Bridge, against Constantine I"
Maximinus Daia,. 270 AD,311 AD - 313 AD,"Nephew of Galerius, adopted as Caesar and his heir in 305 AD; succeeded as Augustus (shared with Licinius) in 311 AD",313 AD Defeated in civil war against Licinius; probably committed suicide thereafter
Licinius with Valerius Valens Martinianus,c. 250 AD - 325 AD,308 AD - 324 AD,"Appointed Augustus in the west by Galerius in 308 BC, in opposition to Maxentius; became Augustus in the east in 311 AD after the death of Galerius (shared with Maximinus); defeated Maximinus in civil war to become sole eastern Augustus in 313 BC; appointed Valerius Valens in 317 AD, and Martinianus in 324 AD as western Augustus, in opposition to Constantine, both nominally ruled for a few months before being executed",Defeated in civil war against Constantine I in 324 AD and captured; executed on the orders of Constantine the next year
Constantine II,316 AD,337 AD - 340 AD,"Son of Constantine I; appointed Caesar in 317 AD, succeeded as joint Augustus with his brothers Constantius II and Constans",340 AD Died in battle against Constans
Constantius II,317 AD,337 AD - 361 AD,Son of Constantine I; succeeded as joint Augustus with his brothers Constantine II and Constans; sole emperor from 350 AD,361 AD Natural causes
Constans,320 AD - 350 AD,337 AD - 350 AD,Son of Constantine I; succeeded as joint Augustus with his brothers Constantine II and Constantius II,Assassinated on the orders of the usurper Magnentius
Julian,331 AD/332 AD,360 AD - 363 AD,Cousin of Constantius II; made Caesar of the west in 355 AD; proclaimed Augustus by his troops in 360; sole emperor after the death of Constantius,"June 26, 363 AD Mortally wounded in battle"
Jovian,331 AD,363 AD - 364 AD,General of Julian's army; proclaimed emperor by the troops on Julian's death,"February 17, 364 AD Natural causes (Suffocated on fumes)"
Valentinian I,321 AD,364 AD - 375 AD,Elected to replace Jovian by the army,"November 17, 375 AD Natural causes"
Valens,328 AD,364 AD - 378 AD,"Brother of Valentinian I, appointed co-augustus (for the east) by him","August 9, 378 AD Killed in Battle of Adrianople against the Goths"
Gratian,359 AD,367 AD - 383 AD,"Son of Valentinian I, appointed 'junior' Augustus by him in 367, became 'senior' augustus (for the west) after Valentinian's death.","August 25, 383 AD Murdered by rebellious army faction"
Valentinian II,371 AD,375 AD - 392 AD,"Son of Valentinian I, proclaimed emperor by Pannonian army after Valentinian's death; accepted as co-Augustus for the west by Gratian","May 15, 392 AD Unclear; possibly murdered or committed suicide"
Theodosius I,347 AD,379 AD - 395 AD,Appointed as Augustus for the east by Gratian after the death of Valens; became sole 'senior' Augustus after death of Valentinian II,"January 17, 395 AD Natural causes"
Arcadius,c. 377 AD - 408 AD,383 AD - 408 AD,Son of Theodosius I; appointed as 'junior' Augustus for the east by Theodosius in 383 (after the death of Gratian); became 'senior' Augustus for the east after his father's death,Natural causes
Honorius,384 AD - 423 AD,393 AD - 423 AD,Son of Theodosius I; appointed as 'junior' Augustus for the west by Theodosius in 393 (after the death of Valentinian II); became 'senior' Augustus for the west after his father's death,Natural causes
Theodosius II,401 AD - 450 AD,408 AD - 450 AD,"Son of Arcadius, succeeded to the throne after his father's death",Natural causes
Consantius III,? - 421 AD,"421 AD - , 421 AD","Married to Theodosius I's daughter Galla Placidia, elevated to co-Augustus for the west by Honorius",Natural causes
Joannes,? - 425 AD,423 AD - 425 AD,"A senior civil servant under Honorius, proclaimed emperor by Castinus; initially undisputed","Deafeated in battle by Theodosius II and Valentinian III, captured and executed"
Valentinian III,419 AD - 455 AD,424 AD - 455 AD,"Son of Constantius III, appointed Caesar for the west by Theodosius II after the death of Honorius, in opposition to the Joannes; became Augustus for the west after the defeat of Joannes","Assassinated, possibly at the behest of Petronius Maximus"
Marcian,396 AD - 457 AD,450 AD - 457 AD,"Nominated as successor (and husband) by Pulcheria, sister of Theodosius II",Natural causes
Petronius Maximus,c. 396 AD - 455 AD,455 AD - 455 AD,"Proclaimed himself emperor with the support of the army, after the death of Valentinian III","Murdered, probably stoned to death by the Roman mob"
Avitus,c. 385 AD - 456 AD,455 AD - 456 AD,"Magister militum under Petronius Maximus, proclaimed emperor by the Visigoth king Theoderic II after Petronius's death","Deposed by his Magister militum, Ricimer; became bishop of Placentia; murdered at some point afterwards"
Majorian,"420 AD, ?",457 AD - 461 AD,Appointed emperor by Ricimer,461 AD Deposed by his troops (probably at the behest of Ricimer); died shortly afterwards in unclear circumstances
Libius Severus,? - 465 AD,461 AD - 465 AD,Appointed emperor by Ricimer,Probably assassinated by Ricimer
Anthemius,c. 420 AD - 472 AD,467 AD -472 AD,"Appointed emperor by Ricimer, with the backing of the eastern emperor Leo I",Executed by Ricimer
Olybrius,c. 420 AD - 472 AD,472 AD - 472 AD,Son-in-law of Valentinian III; appointed emperor by Ricimer,Natural causes
Glycerius,? - 480 AD,473 AD - 474 AD,Appointed emperor by Gundobad (Ricimer's successor),"Deposed by Julius Nepos, became Bishop of Salona, time and manner of death unknown"
Julius Nepos,c. 430 AD - 480 AD,474 AD - 475 AD (in Italy); - Spring 480 AD (in Gaul and Dalmatia),"Nephew-in-law of the eastern emperor Leo I, appointed emperor in opposition to Glycerius","Deposed in Italy by Flavius Orestes, ruled in exile until assassination in 480"
Romulus Augustus,? - 480 AD,475 AD - 476 AD,"Appointed by his father, Flavius Orestes","Deposed by Odoacer, who then ruled in the name of Julius Nepos until the latter's death, which formally ended the western empire; most likely lived out his life on a private villa in obscurity"
Leo I,401 AD - 474 AD,457 AD - 474 AD,Proclaimed emperor by the Magister militum Aspar after Marcian's death,Natural causes
Leo II,467 AD - 474 AD,474 AD - 474 AD,Grandson of Leo I by his daughter Ariadne (empress),"Unclear, possibly assassinated"
Zeno,425 AD - 491 AD,474 AD - 475 AD & 476 AD - 491 AD,Father of Leo II,Natural causes
Basiliscus,? - 476 AD,475 AD - 476 AD,"Brother-in-law of Leo I, seized power during a plot against Zeno by Verina (Leo I's widow and Basiliscus's sister)","Defeated, captured and executed by Zeno"
Anastasius I,c. 430 AD - 518 AD,491 AD - 518 AD,Selected by Ariadne as successor to Zeno (as both emperor and husband),Natural causes
Justin I,c. 450 AD - 527 AD,518 AD - 527 AD,Commander of the palace guard under Anastasius I); elected as emperor with support of army,Natural causes
Justinian I,c. 482 AD - 565 AD,527 AD - 565 AD,Nephew and nominated heir of Justin I,Natural causes
Justin II,c. 520 AD - 578 AD,565 AD - 578 AD,Nephew of Justinian I,Became insane; Tiberius II Constantine ruled as regent from December 574 and became emperor on Justin's death in 578
