Saint,Anglican,Ethiopian,Orthodox,Catholic,Non-historical
"Cyril, Apostle to the Slavs",??,??,Yes,??,--
Cyril of Alexandria,Yes,Yes,Yes,Yes,--
Cyril of Jerusalem,Yes,Yes,Yes,Yes,--
Pope Damasus I,--,--,--,Yes,--
David (Dewi) of Wales,Yes,--,--,--,--
Denis,--,--,Yes,Yes,--
Dismas,--,--,Yes,Yes,--
Dunstan,Yes,--,Yes,Yes,--
Pope Dionysius,--,--,--,Yes,--
Edith Stein,--,--,--,Yes,--
Edward the Martyr,??,--,Yes,Yes,--
Pope Eleutherius,--,--,--,Yes,--
Elizabeth Ann Seton[?],--,--,--,Yes,--
Emelia[?],--,--,Yes,--,--
Ephraim the Syrian,--,--,Yes,Yes,--
Ethelbert of Kent,--,--,--,Yes,--
Pope Eugene I,--,--,--,Yes,--
Pope Eusebius,--,--,--,Yes,--
Pope Eutychian,--,--,--,Yes,--
Pope Evaristus,--,--,--,Yes,--
Pope Fabian,--,Yes,Yes,Yes,--
Pope Felix I,--,--,--,Yes,--
Pope Felix II,--,--,--,Yes,--
Pope Felix III,--,--,--,Yes,--
Pope Felix IV,--,--,--,Yes,--
Ffraid,--,--,--,Yes,--
Francis of Assisi,Yes,--,--,Yes,--
Francis Xavier,Yes,--,--,Yes,--
Gall,--,--,--,Yes,--
Pope Gelasius I,--,--,--,Yes,--
George,Yes,--,--,--,Possible
Gregory the Illuminator,--,--,Yes,Yes,--
Gregory Nazianzus,Yes,--,Yes,--,--
Gregory of Nyssa,--,--,Yes,--,--
Pope Gregory I,--,--,--,Yes,--
Pope Gregory II,--,--,--,Yes,--
Pope Gregory III,--,--,--,Yes,--
Pope Gregory VII,--,--,--,Yes,--
Hedwig of Andechs,--,--,--,Yes,--
Helena,--,--,Yes,Yes,--
"Henry I, Holy Roman Emperor",--,--,--,Yes,--
Herman of Alaska,--,--,Yes,--,--
Pope Hilarius,--,--,--,Yes,--
Pope Hildebrand[?],--,--,--,Yes,--
Pope Hormisdas,--,--,--,Yes,--
Pope Hyginus,--,--,--,Yes,--
Ignatius of Antioch,Yes,Yes,Yes,Yes,--
Ignatius Loyola,Yes,--,--,Yes,--
Pope Innocent I,--,--,--,Yes,--
Irenaeus of Lyons,Yes,Yes,Yes,Yes,--
Isidore of Seville,??,--,--,Yes,--
Jadwiga,--,--,--,Yes,--
James the Great,Yes,--,--,Yes,--
James the Less[?],Yes,--,--,Yes,--
Jerome,Yes,--,--,Yes,--
John the Baptist,Yes,Yes,Yes,Yes,--
John Baptist de La Salle,--,--,--,Yes,--
John Bosco,--,--,--,Yes,--
John Chrysostom,Yes,--,Yes,--,--
John Climacus,--,--,Yes,Yes,--
John of the Cross,Yes,--,--,Yes,--
John of Damascus,--,--,Yes,Yes,--
John the Evangelist,Yes,Yes,Yes,Yes,--
John Maron,--,--,--,Yes,--
Pope John I,--,--,--,Yes,--
Josaphat,--,--,--,Yes,Possible
Joseph the Betrothed,Yes,Yes,Yes,Yes,--
Jude[?],Yes,--,--,Yes,--
Pope Julius I,--,--,--,Yes,--
Katherine of Alexandria,--,--,--,Yes,--
Justin Martyr,Yes,Yes,Yes,Yes,--
Lazarus,Yes,Yes,Yes,Yes,--
Pope Leo I,--,--,--,Yes,--
Pope Leo II,--,--,--,Yes,--
Pope Leo III,--,--,--,Yes,--
Pope Leo IV,--,--,--,Yes,--
Pope Leo IX,--,--,--,Yes,--
Pope Linus,--,--,--,Yes,--
Lorenzo Ruiz[?],--,--,--,Yes,--
Louis,--,--,--,Yes,--
Pope Lucius I,--,--,--,Yes,--
Lucy of Syracuse,Yes,--,Yes,Yes,--
Luke the Evangelist,Yes,Yes,Yes,Yes,--
Mary of the Gael,--,--,--,Yes,--
Macrina[?],?,Yes,Yes,Yes,--
Pope Marcellinus,--,--,--,Yes,--
Pope Marcellus I,--,--,--,Yes,--
Pope Marcus,--,--,--,Yes,--
Margaret of Scotland[?],--,--,--,Yes,--
Margarita,--,--,--,Yes,--
Mark the Evangelist,Yes,Yes,Yes,Yes,--
Martin of Tours,Yes,--,--,Yes,--
Pope Martin I,--,--,--,Yes,--
The Virgin Mary,Yes,Yes,Yes,Yes,--
Mary Magdalene,Yes,Yes,Yes,Yes,--
Matheos the Poor,--,Yes,--,--,--
Matthew the Evangelist,Yes,Yes,Yes,Yes,--
Matthias,Yes,Yes,Yes,Yes,--
Maurice,--,--,Yes,Yes,--
Maximillian Kolbe,Yes,--,--,Yes,--
Methodius,??,??,Yes,??,--
Michael,Yes,Yes,Yes,Yes,--
Pope Miltiades,--,--,--,Yes,--
Saint Nicephorus,??,??,Yes,Yes,--
Nicholas of Myra,Yes,??,Yes,Yes,--
Pope Nicholas I,--,--,Yes,Yes,--
Ninian,Yes,--,Yes,Yes,--
Gregory Palamas,--,--,Yes,--,--
Pope Paschal I,--,--,--,Yes,--
Patrick,Yes,--,Yes,Yes,--
Paul,Yes,Yes,Yes,Yes,--
Pope Paul I,--,--,--,Yes,--
Paulinus of Nola,--,--,--,Yes,--
Perpetua and her companions,Yes,Yes,Yes,Yes,--
Peter,Yes,Yes,Yes,Yes,--
Peter the Aleut,--,--,Yes,--,--
Peter of Alexandria,--,Yes,Yes,Yes,--
Peter of Sebaste[?],--,--,Yes,--,--
Philip,Yes,Yes,Yes,Yes,--
Philomena,--,--,--,Yes,--
Piran,--,--,--,Yes,--
Pope Pius V,--,--,--,Yes,--
Pope Pius X,--,--,--,Yes,--
Polycarp,Yes,Yes,Yes,Yes,--
Pope Pontain[?],--,--,--,Yes,--
Raphael of Brooklyn,--,--,Yes,--,--
Romuald[?],--,--,--,Yes,--
Rosalia,?,--,--,Yes,--
Sergius,--,--,--,Yes,--
Pope Sergius I,--,--,--,Yes,--
Pope Silverius,--,--,--,Yes,--
Simon,Yes,--,Yes,Yes,--
Pope Simplicius,--,--,--,Yes,--
Pope Siricius,--,--,--,Yes,--
Pope Sixtus I,--,--,--,Yes,--
Pope Sixtus II,--,--,--,Yes,--
Pope Sixtus III,--,--,--,Yes,--
Pope Soter,--,--,--,Yes,--
Stephen,Yes,Yes,Yes,Yes,--
Stephen of Hungary,--,--,--,Yes,--
Pope Stephen I,--,--,--,Yes,--
Pope Sylvester I,--,--,--,Yes,--
Pope Symmachus,--,--,--,Yes,--
Pope Telesphorus,--,--,--,Yes,--
Teresa of Avila,Yes,--,--,Yes,--
Theodore the Studite,--,--,Yes,--,--
Theophan the Recluse,--,--,Yes,--,--
Therese of Liseaux[?],--,--,--,Yes,--
Thomas,Yes,Yes,Yes,Yes,--
Thomas Aquinas,Yes,--,--,Yes,--
Thomas More,--,--,--,Yes,--
Tikhon of Moscow,--,--,Yes,--,--
Tikhon of Zadonsk,--,--,Yes,--,--
Timothy the Apostle,Yes,Yes,Yes,Yes,--
Ulrich of Augsburg,--,--,--,Yes,--
Pope Urban I,--,--,--,Yes,--
Veronica,--,--,--,Yes,--
Pope Victor I,--,--,--,Yes,--
Vincent Ferrer[?],--,--,--,Yes,--
Vincent of Lerins,--,--,Yes,Yes,--
Pope Vitalian,--,--,--,Yes,--
Vladimir of Kiev,--,--,Yes,Yes,--
Pope Zacharias,--,--,--,Yes,--
Pope Zephyrinus,--,--,--,Yes,--
Pope Zosimus,--,--,--,Yes,--
