Scientific Name,Common Names (abridged),Family,Habit
Asclepias curassavica,"English: bastard ipecac, blood flower, bloodflower milkweed, butterfly weed, false ipecac, milkweed; Other: tirika, tiare moko (Cook Islands); laulele, lauhele, nu?umela, pua ?anuhe (Hawai?i); pepetoa, vaomumu, vao fualele (Samoa); lou pepe, tu?ulapepe (Tonga)",Asclepiadaceae,herb
Asparagus densiflorus,"English: asparagus fern, sprengeri fern, smilax, regal fern",Liliaceae,herb
Austroeupatorium inulaefolium,,Asteraceae,herb
Averrhoa bilimbi,"English: bilimbi, cucumber tree, tree cucumber, tree sorrel",Oxalidaceae,tree
Axonopus micay,,Poaceae,grass
Azadirachta indica,"English: neem, nim, margosa",Meliaceae,tree
Baccharis halimifolia,"English: consumption weed, eastern baccharis, groundsel bush, groundsel tree, Sea Island myrtle, sea myrtle, silverling, tree groundsel, waterbrush",Asteraceae,shrub
Bacopa procumbens,,Scrophulariaceae,herb
Barleria lupulina,"English: hophead, Philippine violet",Acanthaceae,shrub
Barleria prionitis,"English: barleria, porcupine flower",Acanthaceae,shrub
Bauhinia acuminata,English: dwarf white bauhinia,Fabaceae,tree
Bauhinia purpurea,English: purple orchid tree; purple butterfly tree,Fabaceae,tree
Bauhinia variegata,English: orchid tree; mountain ebony,Fabaceae,tree
Bidens alba,"English: beggar?s tick, Spanish needle, cobbler's pegs, romerillo; Other: ki, ki nehe, ki pipili, nehe (Hawai?i)",Asteraceae,herb
Bidens cynapiifolia,,Asteraceae,herb
Blainvillea gayana,,Asteraceae,herb
Bocconia frutescens,"English: bocconia, plume-poppy, tree poppy, tree celandine, parrotweed",Papaveraceae,shrub
Boehmeria macrophylla,"English: African jolanettle, false nettle",Urticaceae,herb
Boerhavia coccinea,"English: boerhavia, hog weed, hog feed, red spiderling, wineflower, tar vine; Other: mata pavo, patagon",Nyctaginaceae,herb
Brachiaria eruciformis,English: sweet signal grass,Poaceae,grass
Brillantaisia lamium,,Acanthaceae,herb
Brugmansia suaveolens,,Solanaceae,shrub
Bryophyllum delagoense,English: chandelier plant,Crassulaceae,succulent
Buddleja asiatica,English: dog tail; Other: huelo ?ilio (Hawai'i),Scrophulariaceae,shrub
Buddleja davidii,"English: orange eye, butterfly bush, summer lilac",Scrophulariaceae,shrub
Buddleja madagascariensis,"English: butterfly bush, smoke bush",Scrophulariaceae,shrub
Caesalpinia decapetala,"English: cat's claw, Mysore thorn, Mauritius thorn, wait-a-bit; Other: puakelekino (Hawai'i)",Fabaceae,shrub
Cajanus scarabaeoides,"English: peanut grass (Fiji), tropical clover (Fiji)",Fabaceae,vine
Calamus spp.,English: rattan,Arecaceae,vine (palm)
Calliandra haematocephala,English: red powder puff,Fabaceae,shrub
Calliandra surinamensis,English: Surinamese stickpea,Fabaceae,tree
Callisia fragrans,"English: fragrant inch plant, basketplant, spironema",Commelinaceae,herb
Calophyllum antillanum,"English: Alexandrian laurel, Antilles calophyllum, beauty leaf, calaba, galba, Indian laurel, kamani, Santa Maria tree",Clusiaceae,tree
Calotis lappulacea,"English: bur daisy, yellow daisy burr",Asteraceae,herb
Calotropis procera,"English: calotropis, rubber bush, apple of Sodom, mudar, madar, king?s crown, roostertree",Ascelepiadaceae,shrub
Calyptocarpus vialis,,Asteraceae,herb
Cardiospermum grandiflorum,English: balloon vine; heart seed; Other: kop?p? takaviri? (Cook Islands),Sapindaceae,vine
Carmona retusa,"English: Fukien tea, Philippine tea, scorpionbush",Boraginaceae,tree
Carpobrotus edulis,"English: ice plant, pigface, hottentot fig",Aizoaceae,succulent
Castilla elastica,"English: Panama rubber tree, Mexican rubber tree, uletree; Other: pulu mamoe (American Samoa)",Moraceae,tree
Casuarina cunninghamiana,"English: river oak, river she-oak, small cone ironwood",Casuarinaceae,tree
Casuarina glauca,"English: swamp oak, saltmarsh ironwood, longleaf ironwood, gray sheoak",Casuarinaceae,tree
Cecropia obtusifolia,"English: trumpet tree, guarumo; Other: rau-m?niota (Cook Islands)",Cecropiaceae,tree
Cecropia peltata,English: trumpet tree,Cecropiaceae,tree
Cedrela odorata,"English: cigar box cedar, Mexican cedar, West Indian cedar, Spanish cedar, Barbados cedar; Other: sita hina (Tonga)",Meliaceae,tree
Cenchrus brownii,"English: burgrass, burr grass, sand-bur, slimbristle sandbur",Poaceae,grass
Centaurea melitensis,"English: Maltese cockspur, Maltese star thistle, Napa thistle, yellow star thistle",Asteraceae,herb
Centaurium spicatum,English: spiked centaury,Gentianaceae,herb
Centratherum punctatum,,Asteraceae,herb
Cestrum auriculatum,,Solanaceae,shrub
Cestrum diurnum,"English: inkberry, day jessamine, day cestrum, China berry; Other: ariki-va?ine (Cook Islands); makahala (Hawai'i); sugi vao, suni vao (Samoa); vaitohi (Tonga)",Solanaceae,shrub
Cestrum parqui,"English: green cestrum, willow-leaved jessamine, Chilean cestrum, green poison-berry",Solanaceae,shrub
Chamaecrista mimosoides,English: Japanese tea,Fabaceae,herb
Chamaesyce thymifolia,"English: red caustic creeper, thyme-leafed spurge",Euphorbiaceae,herb
Chenopodium ambrosioides,"English: American wormseed, bluebush, Jerusalem tea, Mexican tea, Spanish-tea, wormseed",Chenopodiaceae,herb
Chenopodium murale,"English: Australian-spinach, green fat hen, nettle-leaf goosefoot, salt-green, sowbane",Chenopodiaceae,herb
Chloris divaricata,"English: slender chloris, star grass, star windmill grass",Poaceae,grass
Chloris radiata,"English: plush-grass, radiate fingergrass",Poaceae,grass
Chloris virgata,"English: feather finger grass, feathered chloris, feathertop Rhodes grass, feathery Rhodes grass, oldland grass, sweet grass",Poaceae,grass
Chlorophytum comosum,"English: ribbonplant, spider ivy, spiderplant",Liliaceae,herb
Chromolaena odorata,"English: chromolaena, Siam weed, triffid weed, bitter bush, Jack in the bush",Asteraceae,shrub
Chrysobalanus icaco,"English: coco plum, icaco",Chrysobalanaceae,shrub
Chrysophyllum oliviforme,"English: satin leaf, wild star-apple, damson plum",Sapotaceae,tree
Chukrasia tabularis,"English: Burmese almondwood, chickrassy, Chittagong wood",Meliaceae,tree
Cinchona pubescens,"English: quinine tree, red cinchona",Rubiaceae,tree
Cinnamomum burmannii,English: padang cassia,Lauraceae,tree
Cinnamomum camphora,"English: camphor tree, camphor laurel",Lauraceae,tree
Cinnamomum verum,"English: cinnamon tree; Other: tinamoni, tigamoni (American Samoa and Samoa)",Lauraceae,tree
Cirsium vulgare,"English: spear thistle, Scotch thistle, bull thistle, black thistle, plume thistle; Other: pua kali (Hawai'i)",Asteraceae,herb
Cissus nodosa,English: grape ivy,Vitaceae,vine
Citharexylum caudatum,English: juniper berry,Verbenaceae,tree
Citharexylum gentryi,,Verbenaceae,tree
Citharexylum spinosum,English: fiddlewood,Verbenaceae,tree
Clausena excavata,English: clausena,Rutaceae,tree
Cleome gynandra,"English: African spider-flower, bastard-mustard, cat's-whiskers, spider wisp, wild spider flower; Other: honohina, ?ili?ohu (Hawai?i)",Capparaceae,herb
Cleome spinosa,English: spiny spider-flower,Capparaceae,herb
Clerodendrum japonicum,English: glorybower,Lamiaceae,shrub
Clerodendrum paniculatum,"English: pagoda plant, pagoda flower",Lamiaceae,shrub
Clerodendrum quadriloculare,"English: bronze-leaved clerodendrum; Other: losa, losa Fiti (American Samoa and Samoa)",Lamiaceae,shrub
Clidemia hirta,"English: Koster?s curse, soap bush; Other: la?au lau mamoe (Samoa)",Melastomataceae,shrub
Clitoria laurifolia,English: laurel-leaf pigeonwings,Fabaceae,shrub
Clitoria ternatea,"English: butterfly pea, Asian pigeonwings; Other: paipa (Tonga)",Fabaceae,vine
Clusia rosea,"English: signature tree, autograph tree, copey, Scotch attorney, pitchapple",Clusiaceae,tree
Coccinia grandis,"English: ivy gourd, scarlet-fruited gourd",Cucurbitaceae,vine
Commelina benghalensis,"English: Benghal dayflower, dayflower, hairy wandering Jew, wandering Jew; Other: hairy honohono (Hawai?i); mau'u Tonga (Samoa); kanini, kaningi, musie matala pulu (Tonga)",Commelinaceae,herb
Conocarpus erectus,"English: sea mulberry, buttonwood, button mangrove",Combretaceae,shrub/tree
Conyza aegyptiaca,English: fleabane,Asteraceae,herb
Conyza sumatrensis,"English: broadleaf fleabane, tall fleabane; Other: pakaka (Tonga)",Asteraceae,herb
Corchorus olitorius,"English: Jew's mallow, jute, Nalta jute, tossa jute",Tiliaceae,herb
Corchorus trilocularis,,Tiliaceae,herb
Cordia alliodora,"English: laurel, Ecuador laurel, salmwood, Spanish elm; Other: kotia (Samoa, Tonga)",Boraginaceae,tree
Cordia curassavica,English: black sage,Boraginaceae,shrub
Cordia glabra,English: broad-leaved cordia,Boraginaceae,tree
Cortaderia jubata,"English: jubata grass, Andean pampas grass, purple pampas grass",Poaceae,grass
Cortaderia selloana,"English: pampas grass, silver pampas grass, Uruguayan pampas grass",Poaceae,grass
Corynocarpus laevigatus,"English: New Zealand laurel, karakara nut",Corynocarpaceae,tree
Cosmos caudatus,English: cosmos,Asteraceae,herb
Cotula australis,"Engllish: bachelor's-button, carrotweed, common cotula, Australian brass buttons",Asteraceae,herb
Crotalaria incana,"English: fuzzy rattlepod, woolly rattlepod; Other: k?kaehoki, kolomona (Hawai?i)",Fabaceae,shrub
Crotalaria linifolia,English: narrow-leaved crotalaria,Fabaceae,herb
Crotalaria quinquefolia,English: rattlepod,Fabaceae,herb
Crotalaria retusa,"English: devil-bean, wedge-leaf crotalaria, wedge-leaf rattlepod; Other: piini? (Tonga)",Fabaceae,herb
Crotalaria spectabilis,"English: rattlebox, showy crotalaria, showy rattlebox, showy rattlepod; Other: kolomona (Hawai?i); ha'apai (Tonga)",Fabaceae,herb
Crotalaria zanzibarica,English: curara-pea,Fabaceae,herb
Cryptostegia grandiflora,"English: rubber vine, India rubber vine, Palay rubbervine",Ascelepiadaceae,vine
Cryptostegia madagascariensis,English: Madagascar rubbervine,Ascelepiadaceae,vine
Cucumis dipsaceus,"English: hedgehog cucumber, hedgehog gourd, teasel gourd",Cucurbitaceae,herb
Cupaniopsis anacardioides,"English: carrotwood, tuckeroo",Sapindaceae,tree
Cuphea carthagenensis,"English: Columbian cuphea, Colombian waxweed, tarweed; Other: laau fau moti (Samoa)",Lythraceae,herb
Cuscuta cassytoides,,Cuscutaceae,herb
Cyathea cooperi,English: Australian tree fern,Cyatheaceae,fern
Cyathula prostrata,English: cyathula; Other: mata kura (Cook Islands (Miti'aro?); tolomo'unga (Tonga),Amaranthaceae,herb
Cymbopogon refractus,"English: barbwire grass, soap grass; Other: aretu monoi, aretu noanoa (French Polynesia)",Poaceae,grass
Cyperus cyperinus,"English: long-headed sedge; Other: mue mue, mou upo tutu (French Polynesia)",Cyperaceae,sedge
Cyperus difformis,"English: dirty-Dora, one-arm sedge, rice sedge, small-flower umbrella-plant, variable flat sedge",Cyperaceae,sedge
Cyperus distans,English: slender cyperus,Cyperaceae,sedge
Cyperus haspan,,Cyperaceae,sedge
Cyperus iria,"English: grasshopper?s cyperus, rice flat sedge, umbrella sedge; Other: mou, mou hairi (French Polynesia)",Cyperaceae,sedge
Cyperus ligularis,"English: rocket sedge, swamp flatsedge",Cyperaceae,sedge
Cyperus pilosus,,Cyperaceae,sedge
Cyrtococcum patens,,Poaceae,grass
Cyrtococcum trigonum,English: short-leaf cyrtococcum grass,Poaceae,grass
Dactylis glomerata,"English: barnyard grass, cocksfoot, cockspur, orchard grass",Poaceae,grass
Dalbergia sissoo,"English: Indian dalbergia, Indian rosewood, sissoo, shisham",Fabaceae,tree
Datura ferox,"English: fierce thorn-apple, large thorn-apple, long-spine thorn-apple",Solanaceae,herb
Datura inoxia,"English: angel's-trumpet, downy thorn-apple, Indian-apple, sacred datura, thorn-apple",Solanaceae,herb
Datura stramonium,"English: datura, jimsonweed, moonflower, purple thorn-apple, thorn-apple; Other: l??au h?n?, k?k?nia, k?k?nia haole (Hawai?i)",Solanaceae,herb
Delairea odorata,"English: German ivy, Italian ivy, cape ivy",Asteraceae,vine
Dentella repens,,Rubiaceae,herb
Derris elliptica,English: derris,Fabaceae,vine
Desmanthus virgatus,"English: slender mimosa, virgate mimosa",Fabaceae,shrub
Desmodium gangeticum,,Fabaceae,herb
Desmodium heterophyllum,"English: hetero, Spanish clover",Fabaceae,herb
Desmodium intortum,"English: beggarlice, green-leaf desmodium",Fabaceae,herb
Desmodium nicaraguense,,Fabaceae,shrub
Desmodium scorpiurus,,Fabaceae,herb
Desmodium tortuosum,"English: Florida beggarweed, Spanish clover, dixie ticktrefoil",Fabaceae,herb
Dichrostachys cinerea,"English: aroma, Kalahari Christmas tree, Chinese lantern tree, sickle bush, marabou-thorn, marab?",Fabaceae,shrub
Digitaria bicornis,English: southern crabgrass,Poaceae,grass
Digitaria eriantha,"English: common finger grass, digit grass, pangola grass, woolly finger grass",Poaceae,grass
Digitaria fuscescens,English Y grass; Other: creeping k?kaepua?a (Hawai?i),Poaceae,grass
Digitaria horizontalis,,Poaceae,grass
Digitaria insularis,"English: cottongrass, sourgrass, feather-top grass",Poaceae,grass
Digitaria sanguinalis,"English: crab finger grass, hairy crabgrass, large crabgrass, manne terrestre, panic sanguin, summer grass",Poaceae,grass
Dillenia suffruticosa,"English: shrubby dillenia, shrubby simpoh",Dilleniaceae,shrub/tree
Diplotaxis muralis,English: wall rocket,Brassicaceae,herb
Drymaria cordata,"English: drymaria, tropical chickweed, West Indian chickweed; Other: pipili, pilipili (Hawai?i)",Caryophyllaceae,herb
Duranta erecta,"English: duranta, golden dewdrop, pigeon-berry, sky-flower; Other: ?olive (Tonga)",Verbenaceae,shrub
Echinochloa polystachya,"English: aleman grass, carib grass, creeping rivergrass",Poaceae,grass
Echinochloa stagnina,"English: barnyard grass, burgu grass, hippo grass, long-awn water grass",Poaceae,grass
Elaeocarpus angustifolius,"English: blue fig, blue marble tree, quandong (Australia); Other: apatua, siapoatua, siapatua (American Samoa and Samoa)",Elaeocarpaceae,tree
Eleocharis dulcis,"English: Chinese water-chestnut, ground-chestnut, waternut; Other: utu utu (Samoa)",Cyperaceae,sedge
Eleocharis geniculata,English: spikerush,Cyperaceae,sedge
Elephantopus mollis,"English: elephantopus, elephant?s foot, tobacco weed; Other: tapuvae ?erepani, tapuae ?erepani, vaevae ?erepani, tapua ?erepani? (Cook Islands); lata hina, lau veveli (Tonga)",Asteraceae,herb
Elettaria cardamomum,English: cardamom,Zingiberaceae,herb
Emex australis,"English: doublegee, spiny emex, three-corner Jack",Polygonaceae,herb
Emex spinosa,,Polygonaceae,herb
Emilia coccinea,"English: Flora?s paintbrush, tasselflower",Asteraceae,herb
Emilia fosbergii,Other: pualele (Hawai?i),Asteraceae,herb
Episcia cupreata,"English: episcia, flame violet",Gesneriaceae,herb
Eragrostis cilianensis,"English: gray love grass, stinkgrass",Poaceae,grass
Eragrostis elongata,English: clustered lovegrass (Australia),Poaceae,grass
Eragrostis pilosa,"English: hairy love grass, Indian love grass, soft lovegrass",Poaceae,grass
Eragrostis tenuifolia,"English: elastic grass, love grass",Poaceae,grass
Eragrostis tremula,,Poaceae,grass
Eragrostis unioloides,,Poaceae,grass
Erechtites hieraciifolius,"English: American burnweed, American fireweed, burnweed, fireweed, Malayan groundsel, pilewort",Asteraceae,herb
Erechtites valerianifolia,"English: Brazilian fireweed, fireweed, fireweed daisy, Ceylon thistle; Other: fua lele, pua lele (Samoa); fisi puna (Tonga)",Asteraceae,herb
Eremochloa ophiuroides,English: centipede grass,Poaceae,grass
Erigeron bellioides,,Asteraceae,herb
Erigeron karvinskianus,"English: Mexican daisy, seaside daisy, daisy fleabane",Asteraceae,herb
Eriochloa procera,,Poaceae,grass
Eryngium foetidum,"English: false coriander, shadow-beni, stinkweed",Apiaceae,herb
Euphorbia helioscopia,English: sun spurge,Euphorbiaceae,herb
Euphorbia peplus,English: petty spurge,Euphorbiaceae,herb
Eustachys petraea,,Poaceae,grass
Fallopia convolvulus,"English: black bindweed, wild buckwheat",Polygonaceae,herb
Ficus altissima,"English: lofty fig, false banyan, council tree",Moraceae,tree
Ficus benghalensis,"English: banyan, Indian banyan, vada tree; Other: pulu (Samoa)",Moraceae,tree
Ficus benjamina,"English: weeping fig, baka, Java fig, weeping fig, Benjamin tree; Other: ?ovava Fisi (Tonga)",Moraceae,tree
Ficus macrophylla,English: Moreton Bay fig,Moraceae,tree
Ficus microcarpa,"English: Chinese banyan, Malayan banyan, Indian laurel",Moraceae,tree
Ficus nota,English: tibig,Moraceae,tree
Ficus rubiginosa,"English: rusty-leaved fig, Port Jackson fig, littleleaf fig",Moraceae,tree
Filicium decipiens,"English: fern tree, soapberry",Sapindaceae,tree
Fimbristylis autumnalis,English: slender fimbristylis,Cyperaceae,sedge
Fimbristylis littoralis,"English: grass-like fimbristylis, lesser fimbristylis",Cyperaceae,sedge
Flacourtia indica,"English: batoko-plum, governor's-plum, Indian-plum, Madagascar-plum, ramontchi",Flacourtiaceae,tree
Flacourtia rukam,"English: Indian plum, Indian prune, governor's plum; Other: filimoto (American Samoa, Fiji, Futuna, Samoa and Tonga)",Flacourtiaceae,tree
Flemingia macrophylla,,Fabaceae,tree
Flemingia strobilifera,"English: luck plant, wild hops",Fabaceae,shrub
Flindersia brayleyana,"English: Queensland maple, silkwood",Rutaceae,tree
Fuirena umbellata,,Cyperaceae,sedge
Funtumia elastica,"English: African rubber tree, silkrubber; Other: pulu vao (Samoa)",Apocynaceae,tree
Furcraea hexapetala,"English: Cuban hemp, hemp",Agavaceae,succulent
Galinsoga parviflora,"English: gallant soldier, small-flower galinsoga, yellow weed",Asteraceae,herb
Galinsoga quadriradiata,"English: hairy galinsoga, Peruvian daisy",Asteraceae,herb
Gamochaeta pensylvanica,English: Pennsylvania cudweed,Asteraceae,herb
Gamochaeta purpurea,English: purple cudweed,Asteraceae,herb
Gmelina arborea,"English: gmelina, white teak, white beech",Lamiaceae,tree
Gmelina asiatica,"English: badhara bush, Asiatic beechberry, oval-leafed gmelina",Lamiaceae,shrub
Gmelina elliptica,,Lamiaceae,shrub
Gomphocarpus physocarpus,"English: balloon plant, balloon cottonbush, bladderbush, wild cotton",Ascelepiadaceae,shrub
Gomphrena celosioides,English: gomphrena weed,Amaranthaceae,herb
Gomphrena serrata,,Amaranthaceae,herb
Grevillea banksii,"English: kahili flower, Banks grevillea; Other: ha?iku, kahili (Hawai?i); ?oka pua ?ula?ula (Hawai?i (Ni?ihau))",Proteaceae,tree
Grewia asiatica,English: phalsa,Tiliaceae,tree
Gymnocoronis spilanthoides,"English: Senegal tea, temple plant",Asteraceae,herb
Haematoxylum campechianum,"English: logwood, bloodwood tree, campeachy wood, campeche",Fabaceae,tree
Harungana madagascariensis,English: harungana,Clusiaceae,tree
Hedera helix,"English: English ivy, ivy",Araliaceae,vine
Hedychium coronarium,"English: white ginger, butterfly lily, ginger lily, garland flower; Other: teuila paepae (American Samoa and Samoa); k?p? teatea, re?a teatea (Cook Islands); thevunga (Tonga); ?awapuhi ke?oke?o (Hawai?i)",Zingiberaceae,herb
Hedychium gardnerianum,"English: kahili ginger; Other: k?p? (Cook Islands); kahili, ?awapuhi kahili (Hawai?i)",Zingiberaceae,herb
Helianthus argophyllus,English: silverleaf sunflower; Other: siola'a (Samoa),Asteraceae,herb
Heliocarpus popayanensis,"English: moho, white moho",Tiliaceae,tree
Heliotropium indicum,"English: Indian heliotrope, turnsole",Boraginaceae,herb
Heliotropium procumbens var. depressum,,Boraginaceae,herb
Hemigraphis reptans,,Acanthaceae,herb
Heterocentron subtriplinervium,English: pearl flower,Melastomataceae,herb
Hevea brasiliensis,"English: hevea, Brazilian rubber tree, Para rubber tree",Euphorbiaceae,tree
Hippobroma longiflora,"English: star of Bethlehem, fetia, madamfate; Other: pua h?k? (Hawai?i)",Campanulaceae,herb
Hiptage benghalensis,English: hiptage,Malpighiaceae,shrub
Homalanthus populifolius,English: native bleeding-heart,Euphorbiaceae,tree
Hovenia dulcis,"English: Chinese raisintree, Japanese raisintree",Rhamnaceae,tree
Hura crepitans,English: sandbox tree,Euphorbiaceae,tree
Hydrocotyle bonariensis,"English: pennywort, kurnell curse, large-leaved pennywort",Apiaceae,herb
Hydrocotyle ranunculoides,English: water pennywort,Apiaceae,herb
Hymenachne amplexicaulis,"English: hymenachne, trompetilla, West Indian marsh grass",Poaceae,grass
Hyparrhenia rufa,"English: jaragua grass, thatching grass",Poaceae,grass
Hypericum androsaemum,"English: amber, sweet amber, tutsan",Clusiaceae,shrub
Hypericum canariense,English: Canary Islands St. Johnswort,Clusiaceae,shrub
Hypericum perforatum,"English: goatweed, Klamath weed, St. John's-wort",Clusiaceae,herb
Hypochoeris glabra,English: smooth cats-ear,Asteraceae,herb
Hypochoeris radicata,"English: hairy cat?s ear, gosmore",Asteraceae,herb
Hyptis capitata,English: knobweed; Other: maa uupo (French Polynesia),Lamiaceae,herb
Hyptis mutabilis,English: tropical bushmint,Lamiaceae,herb
Hyptis pectinata,"English: comb hyptis, comb bushmint, mint weed, purple top; Other: miri t?t? (Cook Islands (?Atiu)); vao mini (Samoa)",Lamiaceae,herb
Impatiens walleriana,"English: garden impatiens, balsam, busy lizzy, bizzy-lizzie, patient lucy; sultan?s flower",Balsaminaceae,herb
Imperata conferta,English: plume grass,Poaceae,grass
Imperata cylindrica,"English: blady grass, cogon grass, satintail",Poaceae,grass
Indigofera linifolia,,Fabaceae,herb
Inga edulis,English: ice cream bean,Fabaceae,tree
Ipomoea alba,"English: moonflower; Other: koali pehu (Hawai?i), fue sina, fue to (Samoa)",Convolvulaceae,vine
Ipomoea hederifolia,"English: ivy-leaf morning glory, star ipomoea, trompillo",Convolvulaceae,vine
Ipomoea obscura,,Convolvulaceae,vine
Ipomoea ochracea,,Convolvulaceae,vine
Ipomoea purpurea,"English: common morning-glory, tall morning-glory",Convolvulaceae,herb
Isachne globosa,,Poaceae,grass
Ischaemum polystachyum,English: paddle grass,Poaceae,grass
Ischaemum rugosum,"English: muraina grass, wrinkle duck-beak, saramatta grass",Poaceae,grass
Ischaemum timorense,"English: centipede grass, stalkleaf murainagrass, lucuntu grass",Poaceae,grass
Jasminum fluminense,English: Brazilian jasmine,Oleaceae,vine
Jatropha gossypiifolia,"English: bellyache bush, cotton-leaved physic nut",Euphorbiaceae,shrub
Juncus spp.,English: rush,Juncaceae,rush
Justicia carnea,"English: pink plume-flower, pink jacobinia",Acanthaceae,shrub
Justicia procumbens,,Acanthaceae,herb
Khaya senegalensis,"English: African mahogany, Senegal mahogany",Meliaceae,tree
Koanophyllon solidaginoides,,Asteraceae,herb?
Koelreuteria elegans,"English: Chinese rain tree, flame gold, golden rain tree",Sapindaceae,tree
