Release date,Title,Platform,Manufacturer,Reason(s)
2007,Mass Effect,"Xbox 360, PC",BioWare,"Falsely accused by evangelical blogger Kevin McCullough of containing ""rape and sodomy"", which later led to the removal of McCullough's blog entry on Townhall.com. The game was featured on the Fox News Channel following the controversy,[46] with Fox News host Martha MacCallum, which included the headline ""full graphic sex"".[47] In actuality, the game's most explicit content is an indirect ""sideboob"" shot of a humanoid alien breast.[48]"
2007,Mario Party 8,Wii,Nintendo,"Use of the phrase ""Turn the train spastic! Make this ticket tragic!"" by the character Kamek caused controversy in the United Kingdom, where the word spastic is considered offensive. This led to a recall of the game; it was later re-released with the word changed to erratic.[49]"
2008,Muslim Massacre: The Game of Modern Religious Genocide,PC,Eric 'Sigvatr' Vaughn,"The game's contents and subject have been the subject of strong negative response; a spokesperson for the Muslim Council of Britain, said ""The makers of this 'game' and the ISPs [Internet service providers] who are hosting it should be quite ashamed of themselves. Anti-Muslim prejudice is already on the increase and needs to be challenged and not reinforced through tasteless and offensive stunts like this.""[50]"
2008,LittleBigPlanet,PS3,Media Molecule,"Lyrics from a licensed song, ""Tapha Niang"", were removed due to fears that Muslims would be offended. This led to controversy about the removal itself.[51]"
2009,MadWorld,Wii,Platinum Games,"Violence. Described by the Daily Mail as the ""most violent video game ever"".[52]"
2009,Resident Evil 5,"PS3, Xbox 360, Microsoft Windows",Capcom,"For a pre-release trailer that contains scenes of racism,[53] according to Newsweek journalist N'Gai Croal in an April 2008 interview. He also stated that organizations and retailers would object to the game and that it would cause controversy on release.[53]"
2009,Saw,"PS3, Xbox 360, Microsoft Windows",Konami,"Several news publishings stated that the game's only purpose was to torture and kill people in violent ways with no sense of restraint or morality. Some editorials called it ""depraved and inhumane"" and stated that ""Konami should be ashamed"".[54] It was also listed in the ""Top ten most controversial games of 2009"".[55]"
2009,Left 4 Dead 2,"Xbox 360, Microsoft Windows (Steam)",Valve Corporation,"The cover art in the UK had to be altered due to a potentially offensive hand gesture being depicted.[56] The game was banned in Australia for its excessive violence and gore.[57] The game's New Orleans setting so soon after Hurricane Katrina was considered ""a bad call"".[58] Finally, Left 4 Dead 2 was accused of being racist after incorporating black infected into the game, Valve quickly stated this was only for population diversification purposes.[59]"
2009,Call of Duty: Modern Warfare 2,"Xbox 360, Microsoft Windows, PlayStation 3",Infinity Ward,"Main article: Controversies surrounding Call of Duty: Modern Warfare 2 A level in the game entitled ""No Russian"" has the player assume control of a deep cover Central Intelligence Agency agent, joining a group of Russian nationalist terrorists in enacting an airport massacre. The player is given the option to skip the level at any point.[60][61] The game was discussed briefly in the House of Commons of the United Kingdom after the issue was brought to the attention of MP Keith Vaz, a long time opponent of violence in video games, with fellow Labour Party politician Tom Watson arguing that the level was ""no worse than scenes in many films and books"" and criticising Vaz for ""collaborating with the Daily Mail to create moral panic over the use of video games"".[62] The mission was removed in the Russian version of the game.[63]"
2010,Six Days in Fallujah,"Microsoft Windows, PlayStation 3, Xbox 360",Atomic Games,"The game was opposed by both the public and critics alike for ""glamorizing"" and ""glossing over"" the real-life Battle of Fallujah. This caused the former publisher, Konami, to oppose the game and stop publishing it.[64]"
2011,Bulletstorm,"PS3, Xbox 360, Microsoft Windows",Electronic Arts,"Fox News Channel called out the title as the ""Worst Video Game in the World"" due to the extreme amount of violence; claims made in the original article were dispelled by video game journalists including Rock Paper Shotgun, but Fox News continues to assert the game as too violent.[65]"
2011,Call of Juarez: The Cartel,"PS3, Xbox 360, Microsoft Windows",Ubisoft,"Residents of Ciudad Ju?rez and Mexico protested the announcement of the game, believing it to highlight the Ju?rez Cartel, who are believed responsible for over 3000 homicides in the city in 2010.[66]"
